index,document
"Case teaching in medicine : a series of graduated exercises in the","Case teaching in medicine : a series of graduated exercises in the
differential diagnosis, prognosis and treatment of actual cases of disease /
by Richard C. Cabot.
Contributors
Cabot, Richard C. 1868-1939.
Harvey Cushing/John Hay Whitney Medical Library
Publication/Creation
Boston : D. C. Heath & Co., 1906.
Persistent URL
https://wellcomecollection.org/works/zrzbtke4
License and attribution
This material has been provided by This material has been provided by the
Harvey Cushing/John Hay Whitney Medical Library at Yale University,
through the Medical Heritage Library. The original may be consulted at the
Harvey Cushing/John Hay Whitney Medical Library at Yale University. where
the originals may be consulted.
This work has been identified as being free of Known restrictions under
copyright law, including all related and neighbouring rights and is being made
available under the Creative Commons, Public Domain Mark.
You can copy, modify, distribute and perform the work, even for commercial
purposes, without asking permission.
Wellcome Collection
183 Euston Road
London NW1 2BE UK
T +44 (0)20 7611 8722
E library@wellcomecollection.org
https://wellcomecollection.org"
"INTRODUCTION","INTRODUCTION
Tur most important lesson to be learned by every student of
medicine is the art of recognizing the physical signs of disease,
displaced cardiac apex, a succession-sound, an Argyle-Robertson pu)
a malarial parasite. With these basic facts we can become familiar
only by direct contact with patients and by long practice.
But these data of physical diagnosis have to be interpreted. They
do not crystallize spontaneously into conclusions. They do not arrange
themselves in those significant groups which we call diseases. They
have to be worked up into diagnoses by a reasoning process, and this
reasoning needs practice. A man may collect with accuracy and
thoroughness the data of the history and the physical examination,
and then find that he does not know what they mean, — what
judgment can safely be based upon them, which of them are of
primary and which of secondary importance.
For this secondary and relatively easy step in the development of
medical knowledge, one does not need the actual presence of a patient.
With a book and a teacher it can be learned anywhere and at any
time as well as in the clinic. Indeed it is easier to concentrate attention upon the processes of memory, comparison, and exclusion, which
form the essence of diagnostic reasoning, if the senses are not distracted
by the presence of the patient. Ajter the student has learned to open
his eyes and see, he must learn to shut them and think, and when he is
thinking the less he has to distract him the better.
‘To aid the teacher in training his pupils to think clearly, cogently,
and sensibly about the data gathered by physical examination is the
object of this book. I present these cases because I have found them
useful in this type of instruction. They are selected from a much
larger number which I have used and tested in “case-teaching exercises” during the past eight years.
ADVANTAGES FOR THE STUDENT
1. By means of these cases and others like them we can present
boundless wealth of material, unhampered by the narrowness of our
clinical resources.
vii"
"viii INTRODUCTION","viii INTRODUCTION
2. We can present it precisely as it is met with in practice,
—the
important facts deceptively entangled with what is irrelevant and
misleading. Then we can help the student to disentangle the essentials.
3. We can present cases with portions omitted, cases therefore
blind and puzzling as they would have been in actual practice had the
physician forgotten, as we all forget sometimes, to look for and record
certain essential facts.
From a point of view distinctly differing from that of the lecture,
clinic, or quiz, we can test the pupil’s ability to gather up and use
the knowledge he has acquired from various sources — from his reading,
from the laboratory, from bedside study, and from watching his teachers
at work. Case-teaching is thus a valuable method of general review.
5. We can teach the student how to group isolated symptoms into
well-knit diagnoses.
ADVANTAGES FOR THE TEACHER
1, By using this methodasingle teacher can keep a large class of
students actively busy. They are not merely listening or watching;
they are doing the work of construction themselves. In lectures or
large amphitheatre clinics the whole class is managed by one teacher,
but the teacher does the work and hence the student's gain is relatively
slight. In laboratory exercises the student does the work, and reaps
large profits provided there are teachers enough; but one teacher can
rarely supervise more than eight or ten students. In case-teaching,
however, the whole class works yet only one teacher is needed.
2. No expensive apparatus or instruments are needed. A room,
some books, and a teacher are the only accoutrements called for.
3. By the students’ answers and by their questions — which soon
come thick and fast if encouraged — the teacher can find out the gaps
in each student’s knowledge. Knowing these deficiencies early in the
year (and not merely from the revelations of final examination books)
he is in a position to cooperate with each student in getting the deficiencies filled in, —a position very pleasant for both the student and for
the teacher.
4. Very effective lessons on prognosis, on treatment, and on the
difficulties likely to be met with inpractice, can be given in connection
with these cases.
Mernop or Usine THE Cases
1. The teacher first reads aloud the case to be discussed while the
students follow in their ease-books— from which the diagnoses and"
"INTRODUCTION ix","INTRODUCTION ix
the answers to all questions are omitted. As hereads, theteacher may
comment on or explain the text so as to make its meaning clear.
2: Amember of the class is next called upon by name, to summarize
the case, to point out whether it is acute or chronic, and what organs
or systems are especially involved. Students must always be called on
byname, else the exercise will be a failure.t
3. The students are given five or ten minutes to think over the
ease and then each writes, signs, and hands in a tentative diagnosis
and one or two alternatives on a slip of paper. Each man is thus
forced to commit himself before he hears the case discussed and before
he has gotten any ideas from the other students. By looking over
these slips rapidly the teacher can get a good idea of where the class
is in relation to the case.
4. The class is now prepared to discuss the case. ‘The teacher calls
for diagnoses and writes upon the blackboard all that are at all plausible, discarding only the wild guesses. Next, beginning with the least
plausible diagnosis, he calls upon the man who has suggested it to give
his reasons for it,
—the data supporting it. Then the class is asked
to bring up the points against it. If the objections are fatal ones, this
diagnosis is scratched off the list; if not, the question is left open until
the other diagnoses have been discussed. “Which diagnosis has the
most and the strongest arguments in its favor and the fewest and
weakest against it?” is the final question, and if there is much doubt
about this a vote may be taken so that each man may be put for the
second time on record.
5. The teacher then announces the actual diagnosis of the case as
it was proved by operation, by necropsy, or by the course of the symptoms. This will be awaited with a hush of excitement and greeted
with a buzz of interest if the previous discussion has been well planned.
“Why did’t you all make that diagnosis? What was forgotten or
misinterpreted?” are the questions next taken up, and the diagnostic
part of the exercise is thus brought to a close.
6. Prognosis and treatment are next talked over. Prognosis as to
life, as to the probable duration of the case, and as to likelihood of
complete and permanentrecovery, are separately discussed in each case.
In treatment it is well to begin with questions as to the general dietetic,
*The only failures that I have seen with this system have been due to the fact
that the teacher directed his questions at the whole class or pointed them at a
Particular student without naming him. If the teacher calls the name from a
printed list, and has the men sit always in the same places, it is easy to learn
them in the course of a few exercises."
"x INTRODUCTION","x INTRODUCTION
hygienic, and mechanical measures likely to aid this particular case,
and to end with drugs. Precise account of the way of administering
drugs, their doses, and the full directions to be written on the boxes
or bottles containing them, should be demanded.
GrENERAL SUGGESTIONS
1. Thave found it important to encourage questions, not only such
as are strictly relevant to the matter in hand but any questions that
occur to any student during the exercise. If the teacher knows the
answer to the question he should refer it to some other student and
ask him to answer his classmate. Only if no one in the class knows
the answer should the teacher give it himself; for the process of answering serves to fix the fact in the student’s mind and he should never be
deprived of this benefit.
2. If the teacher does not know the answer, as must frequently be
the case when the students are really intelligent and interested, he
should say so and then tell the student where to look for it.
3. “What symptoms are missing in that case? What typical signs
are absent?” are questions which I have found of value for testing
students in a vulnerable quarter. Criticism of the history or of the
physical examination as printed in the case-book may also be invited
with profit.
4. In connection with one or another of the cases presented in this
book the teacher will find a good opportunity to illustrate the common
failures and errors of young physicians, to describe his own ways of
meeting emergencies, and to detail practical devices for the care of the
sick, points not often found in books.
Tue Cuaracter or THE Cases HERE COLLECTED
1. A large proportion of these cases end either with autopsy or
with operation, which gives a rather sombre tone to the whole. I have
selected a good many of such eases because in case-teaching we need
to be able to announce definitively the actual diagnosis, and this can
be done with absolute certainty only when some one has seen (before
or after death) the result.
2. Some of the cases turn out to be rare ones, but in the discussion of
their differential diagnosis we have to deal mostly with common diseases
and to say fully as much about them as about the rarer disease which
was actually present. Hence most of the time of the class isspentin the
of diseases such as they are likely to meet in practice.
190 Martzoro Sr., Boston.
Fenrvany, 1906"
"CASE 1","2 CASE 1
‘A liquor dealer, 47 years old, is seen December 15, 1904. His
father died at 67 of “obstruction of the bowels,” his mother at 63 of
pneumonia. He regularly used whisky and beer to excess up to 1891
when he had an attack of bloody vomiting after a debauch. He had a
similar attack in 1895 and again in 1902. He never was kept in bed
more than a few days, and always returned to business within a week.
After each attack he gave up all alcohol for periods varying from six
months to two years and then relapsed into his former habits. He
has suffered for years from digestive disturbances, “sour stomach,”
which have been much worse during his periods of alcoholism. After
twenty months of abstinence he began to drink about three months
ago, and since then has complained of anorexia, pain, eructation of
gas, nausea, and vomiting. The pain is located in the epigastrium,
comes on ten to fifteen minutes after eating and is relieved by vomiting.
On the afternoon of December 11 he vomited a small quantity of bright
red blood, and since then he has vomited after nearly every meal,
but he has noticed blood only on one other occasion, two days ago,
when he threw up nearly a pint. He has noticed black stools for
several days. He has recently lost about 15 Ibs.; present weight 185.
Mucous membranes pale. Heart normal in size, action regular, soft
systolic murmur at apex, not transmitted. Pulmonie second sound
not accentuated. Abdomen tympanitic throughout, slight tenderness on pressure over epigastrium. Liver dullness extends from fifth
interspace to two fingers’ breadth below costal margin where a smooth
edge canoe felt. Lower edge of spleen felt on full inspiration. Physical
examination otherwise negative. Pulse 100, regular, of good quality.
Temperature 98.4°. Urine, sp. gr. 1020, acid, no sugar, no albumen,
Hg. 50%, red cells 3,172,000, no nucleated cells. Leucocytes 9200.
1, What is the type of anaemia in this ease? ‘Typical secondary.
2. Significance
of the patient's family history? None whatever. (Teachermaybring
up here a discussion of the problem: in what cases is family history of value?)
3. What causes produce tarry stools? Bismuth, iron, blackberries, blood from high
up in gut.
4. How do you interpret the cardiac signs here present? Functional murmur.
5. What are the commonest causes of splenic enlargement? Typhoid, malaria,
rickets, cirrhosis, leucemia, anaemia.
6. What causes of himatemesis should be considered here? Gastric or duodenal
ulcer, cirrhosis, aneurysm.
7. Diagnosis? Prognosis? Treatment?
Diagnosis: Hepatic cirrhosis, ruptured esophageal varia, secondary anaemia, passive congestion of stomach.
Prognosis: Probably one to two years to live.
‘Treatment: Stop liquor, treat anaemia, regulate diet. Possibly Talma’s operation."
"CASE 2","4 CASE 2
A fireman of 26 was exercising engine-horses, riding one and leading
another. The led horse fell and, as he struggled to rise, wrenched
severely the arm of the fireman, who had not let go the halter. He
thought nothing of it at the time, but twenty-four hours later began
to be distressed by a sense of weight and pressure beneath the sternum,
near the attachment of the wrenched pectoral. Under medical advice
he was laid off duty and treated with liniments and counter-irritation,
but without relief. ‘Three weeks’ vacation in the country benefited
him, but on his return to work he was unable to drive or even to
put on the foot brake without great exhaustion. Now he cannot
walk a block fast without feeling tired out and experiencing a sense of
pressure under the sternum. His wife tells him that he moans and
grinds his teeth in his sleep. He has lost flesh, strength, and color.
‘The heart’s apex is in the fifth interspace and mammary line.
‘There is reduplication of the apex second sound, and at the fifth left
costal cartilage a systolic murmur, louder in the recumbent position.
‘The pulmonic second sound is slightly louder than the aortic.
Interrupted inspiration is detected in both fronts and both interscapular regions, also transient rales in the sixth intercostal space in
the left axilla. Abdomen negative. The blood and urine are normal.
1. What is the usual significance of moaning and teeth grinding during sleep?
Functional cerebral irritation; no organic disease. Common in rickets and
in neurotic children. Popular fallacy that “worms” are the cause. Types
of delirium and of somnambulist may be here discussed.
2. How is the loss of flesh, strength, and color to be explained? (See below under
diagnosis.) Causes of emaciation and of pallor may be considered here.
3. How are cardiac murmurs affected by change of position? All systolic murmurs are louder in the recumbent position. Presystolic murmurs are louder
in the erect position, while diastolic murmurs are unaffected.
4, Diagnosis? Prognosis? Treatment?
The Diagnosis is traumatic neurosis. Ancurism is excluded by the age, the
acute onset, and the lack of evidence of mediastinal pressure. Local trauma
is not important, for after the vacation the symptoms were general, not local.
Chronic latent diseases “lighted up” by the accident (phthisis, anaemia,
nephritis) are excluded by the negative physical examination. ‘Traumatic
neurosis is further suggested by the interval between the accident and the onset
of symptoms. (Cerebral haemorrhage may come on many hours after blow,
but always produces physical signs of brain injury, as paralysis or aphasia.)
‘The Prognosis is good if treatment is wise. He should be well in six months,
but may have to change his occupation.
‘The Treatment is first encouragement and reassurance. Everything should
be done to attract attention from the seat of supposed injury. Local apply
cations (here given) are the worst possible treatment. Advise work of
another kind, a bitter tonic for appetite, and hydrotherapy for sleep."
"CASE 3","CASE 3
A medical student of 25 has been troubled with his joints for ten
years. Attacks of pain and stiffness lay him up whenever he is subjected to any strain, mental or physical. He has had little or no fever,
he thinks, in any of the attacks, but the pain and swelling have been
considerable. He has, as a rule, one or two bad attacks each year, with
‘a week or two in bed.
The knees, ankles, hips, hands, wrists, and elbows have been
affected, and in every case some stiffness and more or less swelling
has remained after the pain left. Both sides are affected nearly alike.
Of late years the attacks have grown less severe, especially since
his family has grown more prosperous and more harmonious. He is
now able to attend to most of his medical work.
Examination shows no motion in the left wrist and very little in
either ring finger. ‘The range of motion in the knees and elbows is also
considerably limited. The fingers are cold, mottled, and damp. Some
of the finger joints and both wrists are doughy and semi-fluctuant.
‘There is no evidence of bony enlargement anywhere.
‘The heart and internal viscera are negative, but the boy is pale
and rather thin. Blood and urine normal.
1. Types and causes of arthritis? Infectious (including acute “rheumatism')
hypertrophic, gouty, neuropathic, hemophili
is of arthritis are often associated with cardiac disease? Only the
infectious types: ¢g., “rheumatic,” septic, gonorrhceal, scarlatinal, pneumococcal, Tuberculous and syphilitic infections of joints are rarely associated
with endocarditis
3. What important data are not mentioned in the above description? X-ray
‘examination, data regarding gonorrhoea and regarding muscular atrophy.
4. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: X-ray examination showed marked atrophy of the articular ends
of the bones. ‘There was marked muscular atrophy. No history of gonorrhoea
or of any other infection. The absence of any known infection, the long
progressive course in a young person, the symmetrical involvement of joints,
the vast motor signs, the absence of marked fever, and the X-ray evidence
all point to atrophic arthritis and serve (with the negative condition of the
viscera, blood, and urine) to exclude other varieties.
Prognosis: Most cases slowly progress, but with favorable environment, hygienic
and psychic, some cases are arrested, as in fact this one was, before crippling
damage occurs. In such cases the injured joints never return to the normal,
but the patient learns to adapt himself. Any mental or physical strain is
likely to produce recrudescence, more or less serious.
‘Treatment: Drugs have no effect save as they may help to improve the general
nutrition (bitters, iron, arsenic). Salicylates do harm. Rest in the acute
attacks, with warmth to the joints, forced feeding, out-door life so far as the
joints permit, encouragement and freedom from worry, are important aids
to recovery. The excision of ankylosed joints may be necessary."
"CASE 4","8 CASE 4
A married woman, 43 years old, is seen April 9. Family history
negative. Has had three children, the youngest being twenty years
old, and no miscarriages. Eighteen years ago she began to suffer from
profuse menstruation which became so excessive and exhausting that
eighteen months ago the uterus and appendages were removed. In
spite of the cessation of the haemorrhages she says that she has lost
ground and grown paler more rapidly since the operation. For the
past six months nose bleeds have been frequent and at times so excessive that the nares have been plugged. She has had “feverish
turns,” lasting several days at a time, but her chief complaint has
been of weakness, great dyspnoea, palpitation, and attacks of faintness. Micturition has been more frequent for the past few years, but
without any polyuria. Her legs and ankles have been considerably
swollen, but this has been much less apparent lately. About a month
‘ago she had a copious epistaxis, followed, four days later, by a second,
less severe, and has remained in bed ever since. Her temperature was
first taken March 28, when it was found to be slightly above normal.
Without discoverable local cause, it rose steadily till it reached 103°
six days later. It fell to normal two days later, but the evening record
has since been several times as high as 99.4°. With the rise in her
temperature, her color, previously very pale, became lemon-yellow,
but the conjunctive remained a pearly white. She was greatly exhausted and somewhat delirious, vomiting occasionally either food or
bile-stained mucus. A very grave prognosis was at this time given
by the attending physician.
When seen April 9, patient reported herself as feeling very well,
and her mental condition was bright. She was markedly anaemic,
but with only a slight yellow tinge remaining. ‘The tongue and mucous
membranes were very pale. There was a deep ulceration on the left
side of the nasal septum and several crusts were seen on the right. A
systolic murmur was heard in the vessels of the neck. The heart’s
apex was in the fifth space in the nipple line. ‘The cardiac dullness
extended a finger’s breadth and a half to the right of sternum. A
systolic murmur was heard all over the precordia, rough over the base,
but becoming softer as the apex was approached and transmitted a
short distance into the axilla. The pulmonic second was slightly accentuated. ‘The upper border of the liver was at the fifth rib, and its
smooth edge could be felt two fingers’ breadth below the costal margin.
‘The edge of the spleen was readily palpated. The ankles were slightly
edematous. The ophthalmoscope showed a normal fundus. Physical
examination was otherwise negative.

10 CASE 4—Continued
Urine, sp. gr. 1012, pale, acid, contains the slightest possible trace
of albumen. Sediment slight, consisting of leukocytes, and a rare
normal red cell; no casts. A blood count on April 3 showed 300,000
reds, 5400 whites, Hgb. 10%. A differential count of 400 whites showed
polymorphonuclear 72%, large mononuclear 12%, small mononuclear
15%, eosinophils 1%. ‘Ten megaloblasts, 5 normoblasts, and 3 microblasts were seen. Poikilocytosis, macrocytosis, and polychromatophilia were present. A second count made to-day showed 1,000,000
reds, 5800 whites, Hgb. 25%. A differential count of 300 white cells
showed no special change in the proportions. Four megaloblasts, 11
normoblasts, and 2 microblasts were found.
1. What are the common causes of frequent micturition in women and in men?
In women, (a) nervousness and debility from any cause; (b) less often
cystitis (‘‘simple,” gonorrhceal, tuberculous, or calculus); (¢) the pressure of
the pregnant uterus or other tutors; (d) myelitis (tuberculous or septic).
In men, (a) prostatic obstruction and its results; (b) cystitis (gonorrhoea,
tuberculous, eye.); (e) myelitis (as in women). Occasionally, in either sex,
chronic nephritis may produce frequent as well as profuse micturition.
2. What are the possible causes of a systolic murmur like that here described?
(@) Arterio sclerotic roughening of the aortic arch or of the aortic valves;
(®) Anemia and other causes of insufficient muscular contraction of the
valve-orifices (but such murmurs are usually louder in the pulmonary area).
(©) Aneurism of the aorta; (d) Aortic stenosis (provided always that other
signs of that lesion are present, thrill and plateau pulse especially).
3. How are the ‘feverish turns’ to be explained in this case? Fever in chronic
anaemia, especially pernicious anaemia, is not uncommon. After any profuse
haemorrhage it often occurs in neurotic persons.
4. Diagnosis? Prognosis? Treatment?
Diagnosis: The blood is characteristic of pernicious anaemia. ‘The haemorrhages
are probably symptoms, not causes, of the anaemia, for such a blood picture
rarely if ever results from haemorrhage of the type here described. ‘The
respiratory, cardiac, and digestive symptoms, as well as the oedema, weakness,
and fever, can be explained by the anosmia. Other diseases are excluded by
the absence of physical signs pointing to them.
Prognosis: A wave of improvement has apparently begun in this ease and there
may be one or two periods of great improvement, or even perfect health
lasting several months each. Within two years death is almost certain to
follow. Perhaps two cases in a hundred recover.
‘Treatment: Fowler's solution, 2 drops after meals well diluted and increased
1 drop daily until toxic symptoms appear, is considered the best method of
prolonging life; 50 to 60 drops a day may be taken for some weeks. A few
cases have improved after vigorous laxative treatment, ic., enough cascara
to produce several movements daily for weeks at a time. Rest, freshair, and
‘as much food as the stomach will bear are indicated. Hemorrhages are to be
checked by pressure with gauze, with or without adrenalin solution. Tron.
‘oxygen, and bone marrow are of no value."
"CASE 5","12 CASE 5
A vigorous man of 62 comes of a gouty family, many members of
which have been long-lived. His mother is said to have died of cancer,
seat unknown; and a paternal uncle of gastric cancer. In recent years
the patient had had two brief attacks of pain and swelling in the great
toe-joint; he has also had eczema, said to have been considered of gouty
origin. For some years he has occasionally lost moderate quantities
of fresh blood from the rectum. He has been a good, though not a
free liver; and has always taken much exercise in the open air.
Six months ago he was duck shooting on Lake Erie, and, the
water being very low, he says that for three weeks he worked
harder than ever before in his life, pushing and dragging his boat
in shallow water. After returning home he felt tired and was indisposed to exert himself in any way. Soon after he began to suffer
every few days about 1 p.m. from severe continuous pain just below
the right costal border and outside the edge of the rectus muscle. The
pain bore no apparent relation to the quality of food; the attacks lasted
from one half an hour to three hours, and were relieved by the passage
of gas upward or downward. Sometimes the escape of gas seemed to
be promoted by cooking soda or aromatic spirits of ammonia. The
pain is sometimes very sharply localized, even to a point no larger than
the finger tip; but sometimes spreads to the left and downward over
an area as large as the palm of the hand. Gradually the attacks have
increased in frequency and come on daily; of late, toward 5 p.m.
‘There has been at times slight nausea, apparently due to the extreme
severity of the pain. He never vomited until two days before he was
seen, then repeatedly during the night; the vomits was not characteristic. Position does not seem to influence the pain except in so far as
it may aid the expulsion of gas.
A week or ten days before he was seen, he had on two successive
days black movements of the bowels, one very copious, unattended by
rectal pain, faintness, or subsequent loss of color. Fever has been
absent, and the urine negative. The appetite and ordinary digestion
have been fair; there has been no noticeable loss of flesh or color.
The tongue is slightly coated, the fingers show some gouty deposits,
there is some tenderness on deep pressure just above and to the right
of the navel; the smooth edge of the liver can be felt to descend
below the right costal border, but only on full inspiration. Physical
examination is otherwise negative.
1. What diseases often cause epigastric pain relieved by the belching of gas? Dyspepsia of various types, angina pectoris, neurasthenia. Usually motor disturbance and not fermentation is the cause of such belching.

CASE 5—Continued
What type of stomach trouble is to be expected at the age of 62? Cancer;
rarely ulcer; sometimes the gastric symptoms depending on gall-stones and
their results.
‘What is the relation of the gout to the other symptoms? Gout and arteriosclerosis are often closely associated. Arterio-sclerosis is one of the diagnoses
to be considered in this case.
Diagnosis? Prognosis? Treatment?
Diagnosis: Duodenal ulcer is strongly suggested by the position and sharp
localization of a pain which tends to occur when the stomach is empty, by
the tarry stools and the relief by alkalies. Hepatic cirrhosis is possible, but
rarely causes such pain and cannot be diagnosed unless evidence of portal
stasis appears. Angina pectoris may cause abdominal pain relieved by belching, but never produces helena. ‘There are no physical evidences of arteriosclerosis, but it may nevertheless be present. On the whole, the chief
symptoms in the case seem best explained by the diagnosis of duodenal
ulcer. ‘The course of the case apparently confirmed this diagnosis.
Prognosis: Most cases recover under proper treatment in the course of many
months, but relapses are not uncommon.
‘Treatment: Exclusive rectal feeding for ten days. Then a gradual return to
full diet with meat and fish almost or quite excluded. Carbohydrates and
fats should make up almost the whole of his diet, but milk may be taken
freely. If the symptoms persist or recur, operation may be necessary."
